"Horodateur","Lundi","Mardi","Mercredi","Jeudi","Vendredi",""
"2022/03/21 12:08:00 PM UTC+1","😎","","😴","🥳","🥳;😀","😒"
"2022/03/21 12:08:10 PM UTC+1","😎","","😭","😀","🥳","😴"
"2022/03/21 12:13:48 PM UTC+1","😀","","😶","😴","🥳",""
"2022/03/21 12:17:59 PM UTC+1","😀","😀","🤯","😴","🥳",""
"2022/03/21 12:20:14 PM UTC+1","😱","","","","",""
"2022/03/21 12:22:59 PM UTC+1","😀","😀","🤯","😒","😒",""
"2022/03/21 1:30:20 PM UTC+1","😴","😎","🤯","😱","🥳",""
"2022/03/21 1:30:24 PM UTC+1","😶","😱","🤬","😭","😴",""
"2022/03/21 3:14:17 PM UTC+1","😎","😀","😶","😱","😀",""
"2022/03/21 4:07:41 PM UTC+1","😎","😎","😀;😴","🤯","😴",""